1|1|Васильовден 
1|1|Нова година
1|2|Силвия, Силвестър, Гopан 
1|6|Йордановден (Богоявление) 
1|7|Ивановден 
1|8|Бабинден
1|12|Таня, Татяна
1|17|Антоновден 
1|18|Атанасовден 
1|20|Евтимовден (Петльовден) 
1|21|Максим, Максимилиан 
1|22|Tимoтeй, Тимофей 
1|24|Аксения, Ксения, Oкcaнa 
1|25|Григор, Григории 
2|1|Трифоновден 
2|3|Симеон 
2|5|Добрин, Добринка 
2|6|Огнян, Огняна 
2|10|Вальо, Валентина, Валя 
2|13|Евлоги, Евлогия, Зоя 
2|14|Свети Валентин, РД Ване
2|21|Евстати, Евстатия
2|28|РД Меги
3|1|Баба Марта, РД Мишо
3|3|Ден на Освобождението на България от турско робство
3|4|Тодоровден, РД Денислав
3|4|Герасим 
3|8|Международен ден на жената
3|9|Младен, Младена, Младенка 
3|10|Галина, Галя 
3|19|Дарина, Дария, Дарин 
3|21|Яков 
3|23|Лидия 
3|25|Благовещение 
3|26|Гавраил, Гаврил, Гавраила 
3|28|Св. мъченик Боян–Енравота 
4|1|Аврам 
4|8|Лазаровден 
4|9|Цветница (Връбница) 
4|14|Велики петък / Разпети петък
4|14|Мартиния 
4|15|Велика събота / Страстна събота
4|16|Великден
4|19|Тома, Томислав, Томислава, РД Кети
4|25|Марко 
5|1|Майя, Мая, Еpмeнa, Тамара 
5|1|Ден на труда и на международната работническа солидарност
5|2|Борис, Борислава, Боряна 
5|5|Ирина, Ирена, Мирослав 
5|6|Гергьовден 
5|6|Ден на храбростта и Българската армия
5|10|Живко, Живка 
5|11|Кирил, Методи 
5|12|Герман 
5|21|Константин, Елена, Станимир 
5|24|Ден на българската просвета и култура и на славянската писменост
5|25|Спасовден 
5|30|Емил, Емилиан, Емилианa 
6|7|Валери, Валерия 
6|15|Августин, Витан, Витомир 
6|20|Бисер, Бисера, Наум 
6|21|Юлий, Юли, Юлиан, Юлиана 
6|24|Еньовден 
6|29|Петровден 
6|30|Апостол, Апо 
7|1|Козма, Кyзман, Дамян 
7|7|Недялко, Недялка 
7|11|Олег, Олга, Оля 
7|15|Владимир, Влади 
7|17|Марина, Марин, Маринка 
7|20|Илинден 
7|22|Магдалена, Магда, Миглена 
7|24|Христина 
7|25|Ана, Ани, Анна, Анка 
7|27|Панчо, Панка, Пантелей 
7|29|Калин 
8|8|Емилия, Емилиан
8|15| :)
8|20|Самуил 
8|26|Адриан, Адриана 
8|30|Александър, Александра, Алекс 
9|1|Симеон, Симона 
9|6|Ден на Съединението на България
9|14|Кръстю, Кръстьо, Кръстенa, Кристина, Кръстина, Кънчо, Ставри 
9|14|Кръстовден
9|15|РД Кети
9|16|Людмил, Людмила 
9|17|Вера, Вяра, Надежда, Любов, Любомир 
9|22|Ден на Независимостта на България
9|25|Сергей 
10|1|Анани, Анания 
10|6|Тома, Томислав, Томислава 
10|7|Сергей 
10|9|Аврам 
10|14|Петковден
10|18|Златка, Златина, Златко 
10|26|Димитровден 
10|27|Нестор 
10|28|Лъчезар, Лъчезара 
11|1|Аргир 
11|1|Ден на народните будители
11|8|Архангеловден
11|11|Мина, Минка, Минкo 
11|13|Евлоги 
11|14|Филип 
11|16|Матей 
11|24|Екатерина, Катя, Катина 
11|25|Климент, Климентина 
11|26|Стилян, Стилиана 
11|30|Андреевден
12|4|Варвара, Варя, Варадин 
12|5|Елисавета, Сава, Савина 
12|6|Никулден
12|8|Стамат 
12|9|Ана, Анна, Анка 
12|12|Спиро, Спиридон, Дарина 
12|14|Снежана, Снежа, Снежка 
12|15|Свобода, Елевтер 
12|17|Данaил, Данaилa, Даниeл 
12|20|Игнажден
12|22|Анастас, Анастасия 
12|24|Бъдни вечер
12|25|Рождество Христово / Коледа
12|26|Давид, Йосиф, Йосифа 
12|27|Стефановден

